year,month,province,workshops,year_month
2022,1,Leinster,0,2022-01
2022,1,Munster,0,2022-01
2022,1,Connacht,0,2022-01
2022,1,Ulster,0,2022-01
2022,2,Leinster,0,2022-02
2022,2,Munster,0,2022-02
2022,2,Connacht,0,2022-02
2022,2,Ulster,0,2022-02
2022,3,Leinster,0,2022-03
2022,3,Munster,0,2022-03
2022,3,Connacht,0,2022-03
2022,3,Ulster,0,2022-03
2022,4,Leinster,4,2022-04
2022,4,Munster,0,2022-04
2022,4,Connacht,0,2022-04
2022,4,Ulster,0,2022-04
2022,5,Leinster,1,2022-05
2022,5,Munster,0,2022-05
2022,5,Connacht,0,2022-05
2022,5,Ulster,0,2022-05
2022,6,Leinster,2,2022-06
2022,6,Munster,0,2022-06
2022,6,Connacht,0,2022-06
2022,6,Ulster,0,2022-06
2022,7,Leinster,0,2022-07
2022,7,Munster,0,2022-07
2022,7,Connacht,0,2022-07
2022,7,Ulster,0,2022-07
2022,8,Leinster,0,2022-08
2022,8,Munster,0,2022-08
2022,8,Connacht,0,2022-08
2022,8,Ulster,0,2022-08
2022,9,Leinster,0,2022-09
2022,9,Munster,0,2022-09
2022,9,Connacht,0,2022-09
2022,9,Ulster,0,2022-09
2022,10,Leinster,0,2022-10
2022,10,Munster,0,2022-10
2022,10,Connacht,0,2022-10
2022,10,Ulster,0,2022-10
2022,11,Leinster,0,2022-11
2022,11,Munster,0,2022-11
2022,11,Connacht,0,2022-11
2022,11,Ulster,0,2022-11
2022,12,Leinster,0,2022-12
2022,12,Munster,0,2022-12
2022,12,Connacht,0,2022-12
2022,12,Ulster,0,2022-12
2022,1,Leinster,0,2022-01
2022,1,Munster,0,2022-01
2022,1,Connacht,0,2022-01
2022,1,Ulster,0,2022-01
2022,2,Leinster,0,2022-02
2022,2,Munster,0,2022-02
2022,2,Connacht,0,2022-02
2022,2,Ulster,0,2022-02
2022,3,Leinster,0,2022-03
2022,3,Munster,0,2022-03
2022,3,Connacht,0,2022-03
2022,3,Ulster,0,2022-03
2022,4,Leinster,4,2022-04
2022,4,Munster,0,2022-04
2022,4,Connacht,0,2022-04
2022,4,Ulster,0,2022-04
2022,5,Leinster,1,2022-05
2022,5,Munster,0,2022-05
2022,5,Connacht,0,2022-05
2022,5,Ulster,0,2022-05
2022,6,Leinster,2,2022-06
2022,6,Munster,0,2022-06
2022,6,Connacht,0,2022-06
2022,6,Ulster,0,2022-06
2022,7,Leinster,0,2022-07
2022,7,Munster,0,2022-07
2022,7,Connacht,0,2022-07
2022,7,Ulster,0,2022-07
2022,8,Leinster,0,2022-08
2022,8,Munster,0,2022-08
2022,8,Connacht,0,2022-08
2022,8,Ulster,0,2022-08
2022,9,Leinster,0,2022-09
2022,9,Munster,0,2022-09
